theme_id,name
1,Homero
1,Sócrates
1,Platón
1,Aristóteles
1,Julio César
1,Augusto
1,Cicerón
2,Homero
2,Pericles
2,Alejandro Magno
2,Sócrates
2,Platón
2,Aristóteles
2,Hipatia
3,Augusto
3,Julio César
3,Cicerón
3,Cleopatra
3,Marco Antonio
3,Nerón
3,Calígula
3,Trajano
3,Adriano
3,Marco Aurelio
3,Virgilio
3,Horacio
3,Livio
3,Séneca
4,Hesíodo
4,Homero
4,Zeus
4,Hera
4,Poseidón
4,Hades
4,Apolo
4,Atenea
4,Afrodita
4,Hércules
4,Júpiter
4,Marte
4,Venus
4,Mercurio
5,Hércules
5,Perseo
5,Aquiles
5,Ulises
5,Medea
5,Atenea
5,Zeus
5,Afrodita
6,Homero
6,Hesíodo
6,Orfeo
7,Júpiter
7,Juno
7,Marte
7,Vesta
7,Ceres
8,Fidias
8,Praxíteles
8,Policleto
9,Vitruvio
10,Fidias
10,Praxíteles
10,Miron
10,Policleto
10,Lisipo
10,Escopas
10,Apolonio de Atenas
11,Vitruvio
12,Vitruvio
12,Miguel Ángel
12,Leonardo da Vinci
13,Pericles
13,Cleisthenes
13,César
13,Augusto
13,Solón
14,Sócrates
14,Platón
14,Aristóteles
14,Cicerón
14,Julio César
15,Sócrates
15,Platón
15,Aristóteles
15,Cicerón
15,Julio César
15,Augusto
15,Pericles
15,Aspasia
16,Sócrates
16,Platón
16,Aristóteles
16,Cicerón
16,Julio César
16,Homero
17,Sófocles
17,Eurípides
17,Aristófanes
17,Plauto
17,Terencio
18,Sumerios
18,Egipcios
18,Fenicios
18,Griegos
18,Romanos
19,Homero
19,Platón
19,Cicerón
19,Virgilio
21,Julio César
21,Cicerón
21,Virgilio
22,Homero
22,Virgilio
22,Platón
22,Cicerón
25,Hipócrates
25,Galeno
25,Aristóteles
25,Platón
26,Cicerón
26,Virgilio
26,Homero
26,Platón
26,Aristóteles
27,Homero
27,Virgilio
27,Sófocles
27,Eurípides
27,Aristófanes
27,Platón
27,Cicerón
27,Ovidio
29,Sócrates
29,Platón
29,Aristóteles
29,Cicerón
29,Virgilio
30,Homero
30,Hesíodo
30,Zeus
30,Hércules
30,Apolo
30,Atenea
31,Escipión el Africano
31,Julio César
31,Augusto
31,Virato
31,Sertorio
32,Platón
32,Aristóteles
32,Homero
32,Virgilio
32,Cicerón
