theme_id,name
1,Grecia
1,Roma
1,Atenas
1,Esparta
1,Macedonia
1,Cartago
1,Alejandría
2,Creta
2,Micenas
2,Atenas
2,Esparta
2,Macedonia
2,Alejandría
3,Roma
3,Italia
3,Galia
3,Egipto
3,Britania
3,Hispania
4,Grecia
4,Roma
4,Olimpo
5,Grecia
5,Roma
5,Olimpo
6,Delfos
6,Olimpia
6,Eleusis
7,Roma
7,Pompeya
8,Grecia
8,Roma
8,Atenas
8,Olimpia
9,Grecia
9,Roma
9,Atenas
9,Delfos
9,Olimpia
10,Grecia
10,Roma
10,Atenas
10,Olimpia
10,Delfos
10,Rodas
11,Roma
11,Pompeya
11,Herculano
12,Europa
12,Galicia
12,Grecia
12,Roma
13,Atenas
13,Roma
13,Esparta
14,Atenas
14,Roma
14,Esparta
14,Corinto
15,Atenas
15,Roma
15,Esparta
16,Atenas
16,Esparta
16,Roma
16,Corinto
16,Delos
17,Atenas
17,Roma
17,Delfos
17,Olimpia
18,Mesopotamia
18,Egipto
18,Fenicia
18,Grecia
18,Roma
19,Grecia
19,Roma
19,Fenicia
20,Indo-European regions
21,Roma
21,Italia
21,Francia
21,España
21,Portugal
21,Rumanía
22,Grecia
22,Roma
22,Atenas
22,Latium
24,Latín
24,Galego
24,Castelán
25,Grecia
25,Roma
26,Roma
26,Atenas
26,Grecia
26,Italia
26,Francia
26,España
27,Grecia
27,Roma
28,Roma
28,Atenas
29,Grecia
29,Roma
29,Atenas
29,Esparta
29,Roma
30,Olimpo
30,Atenas
30,Esparta
30,Troya
31,Hispania
31,Gallaecia
31,Tarraco
31,Itálica
31,Mérida
32,Grecia
32,Roma
32,Atenas
32,Alejandría
