content_id,content_type,difficulty,competences,theme_id
831091a5,texto,1,"cd,cc,cpsaa,stem,cp,ccec,ce",1
f1582658,video,1,"ccec,ccl,cd,stem,cpsaa,cc,cp",1
30de853b,interactivo,1,ccec,1
3ea24dea,adaptado,1,"cd,stem,cp,ccl,cpsaa,ce,cc,ccec",1
dc98bacf,texto,2,"cc,stem,cp,ce,ccl,cd,ccec,cpsaa",1
41f6fa84,video,2,"cc,ccec,ce,cpsaa",1
b7741d47,interactivo,2,"ccec,cp,ccl,cc,cpsaa,cd,ce,stem",1
34c92624,adaptado,2,"stem,ccec,cd,ccl,cpsaa,ce,cp",1
52d9173a,texto,3,"ce,stem,cp,cpsaa",1
2a38d0c1,video,3,"ccec,cc",1
dafc26ad,interactivo,3,"stem,ccec,ce,cc,cpsaa",1
5ad571f0,adaptado,3,"cpsaa,cd",1
1a7940fc,texto,1,cpsaa,1
f2b396b8,video,1,"cpsaa,ce,cd,ccl,cp,ccec,cc",1
57d2df17,interactivo,1,"ccl,cp,stem,cc",1
fd26f3dc,adaptado,1,"stem,cc,cd",1
034916f5,texto,2,"cd,cc,stem",1
f6b32102,video,2,"cp,cc,stem,ce,ccec",1
e43cc2c2,interactivo,2,"ccec,cpsaa,ccl,stem,ce,cc,cd",1
7eabc1a9,adaptado,2,"stem,ccl,ccec,cd,cc,ce,cpsaa,cp",1
ea822afa,texto,3,"ce,stem,cc,ccec,cpsaa,cp,cd",1
71765915,video,3,"cc,cp,cpsaa,stem",1
e0149dbe,interactivo,3,"cp,stem,ce,ccl,cd",1
7fbc931b,adaptado,3,"cd,cpsaa,stem,ccl",1
82c97ddd,texto,1,"ccl,cd,cpsaa,stem,cp,ccec",1
f6e6ef2b,video,1,"cd,cp,cpsaa,stem,ccl,ccec",1
c515ea87,interactivo,1,"ccec,cc,cpsaa,ccl,cp,ce,cd",1
1bfc214c,adaptado,1,"cc,ccl,ce,ccec,cd",1
9ab0fe9d,texto,2,"cpsaa,cc,ccl,cd",1
3eb7f4ae,video,2,"ccec,stem",1
11ddaa96,interactivo,2,"cd,cc,ccl,cpsaa,ccec,ce",1
4394d4df,adaptado,2,"ccl,cc,stem",1
083d4e78,texto,3,"stem,cpsaa,cd,ce,ccl,ccec,cc,cp",1
5af63f29,video,3,"ce,cd,stem,ccec",1
19dc37ab,interactivo,3,"cpsaa,stem,cc,cd",1
cceb042c,adaptado,3,"stem,ce",1
bca8a5a3,texto,1,cpsaa,2
1f76b961,video,1,"ccec,ce,cc,cp,cd,ccl,stem",2
16495f82,interactivo,1,"cpsaa,cd,ccec",2
74cb507b,adaptado,1,"ccec,ccl,cd,ce",2
fca717d9,texto,2,"cd,cpsaa",2
e88e617e,video,2,"ccl,ccec,stem,cd,cc",2
f7e8ab1d,interactivo,2,"cd,stem,cc",2
f92fe2ec,adaptado,2,"cc,ccec,cp,stem,ce,cd,ccl",2
025ea277,texto,3,"cd,ccec,cp",2
9970462d,video,3,"ce,cc,cd,ccec,cp,stem,ccl,cpsaa",2
1aeda1db,interactivo,3,cpsaa,2
825acf2e,adaptado,3,"cpsaa,cp,stem,cd,cc",2
196560b1,texto,1,"ccec,stem",2
3f406842,video,1,"ccl,stem,cpsaa,cp,ce,ccec",2
2b286694,interactivo,1,"cp,stem,ce,ccec",2
69044e99,adaptado,1,"ccl,stem,cp,cpsaa,cd",2
f495ff6d,texto,2,"stem,cp,ccl,ccec,cd",2
360e7b35,video,2,"ccl,cc",2
9efad50a,interactivo,2,"ce,stem,cpsaa",2
59a3f7e4,adaptado,2,"ce,cp,ccl",2
e3a641f2,texto,3,"ccl,cc",2
79b8d4e7,video,3,"stem,cd,cp,cc,ccec",2
59ccc6fb,interactivo,3,stem,2
cd039b9a,adaptado,3,"ccl,cp,cd,stem",2
c985c7ba,texto,1,"cp,stem,ccec,ce,cd,cpsaa,ccl",2
f695b28d,video,1,"ce,cd,stem,ccec,cp,cc",2
c88936d8,interactivo,1,"ccec,ccl,ce",2
354f99aa,adaptado,1,"cp,cc,ce,ccec,ccl,cpsaa,stem",2
f9ffb7c5,texto,2,"cp,stem,cpsaa,cd,cc,ce,ccl,ccec",2
39ed69ad,video,2,"ce,cd",2
50871524,interactivo,2,"ccec,cd,cp,stem,cc,ccl,ce,cpsaa",2
bc70e080,adaptado,2,"ccl,cp,ce",2
61af1f8a,texto,3,"cd,ce,cp,stem",2
5507e65f,video,3,"cpsaa,ccec,ce,stem,cd,cc,ccl,cp",2
ed34bc88,interactivo,3,"stem,cpsaa,cd,ce",2
9857d842,adaptado,3,"ccec,stem,cpsaa,cc",2
1f5dd5be,texto,1,"ce,cpsaa,cc,stem,ccec,cp",2
4a25bdb9,video,1,cpsaa,2
51284cc8,interactivo,1,cd,2
70e6b576,adaptado,1,"cpsaa,cd,cc,ccl",2
6370fe26,texto,2,"ccec,ce,cc,stem,cpsaa,cp,cd",2
24c3697b,video,2,"cd,ce,cpsaa,cc,ccl",2
c7cb630a,interactivo,2,"cpsaa,stem,cc,cp,ccl,ce,cd",2
7fd73afd,adaptado,2,ccec,2
b0e773fa,texto,3,"cc,ccl,stem,ccec,cd,cp,cpsaa,ce",2
664005db,video,3,"cd,ccec,ce,cpsaa,stem,ccl",2
a8e679de,interactivo,3,"cc,cp,ccec,cd,stem,ccl,ce",2
61af5908,adaptado,3,"cc,cd,cp,ccec,stem,ccl",2
4a728b61,texto,1,"ccl,stem,ccec,cp,cc,cpsaa,ce,cd",3
ab8e1aaa,video,1,"ce,ccl,ccec,cc,stem",3
89dbb717,interactivo,1,"ccec,stem,cd,ce,ccl,cp,cc,cpsaa",3
02363d73,adaptado,1,"ccec,cc",3
26912de0,texto,2,"cpsaa,ce,stem,cd",3
5235b4fa,video,2,"cp,cc,ce",3
1b2bc01f,interactivo,2,"ccec,cc,cpsaa,cd",3
72bc897f,adaptado,2,"ccec,stem,ce,cd",3
1de2edc8,texto,3,cp,3
7278e8ab,video,3,"ccl,ccec,cc",3
ca385a3d,interactivo,3,"stem,cpsaa,cd,ccl,ccec,cc,cp",3
93defd35,adaptado,3,"cd,cpsaa,cp,ccec,ce,stem",3
d3dde2c2,texto,1,"cc,cd,ccec,ccl,cp,ce,cpsaa",3
2b3e65fc,video,1,"cp,ce",3
85e0d0d9,interactivo,1,cd,3
d43b9815,adaptado,1,"ccl,ccec,cp,ce,cc,cpsaa,stem,cd",3
c450bba9,texto,2,"stem,ccec,ce,cd,cpsaa,cc,ccl",3
4bfe26a5,video,2,ce,3
4573bcbf,interactivo,2,"ccl,ccec,cd,stem,ce,cp,cc",3
692727d0,adaptado,2,"cd,cpsaa,ccec,stem",3
e062e347,texto,3,"stem,cpsaa,cd,ccl,ccec,cp",3
e7c7b43e,video,3,cp,3
2c6ea671,interactivo,3,"cc,cp,cd",3
addd06fa,adaptado,3,"cpsaa,cc,cd",3
437b72b8,texto,1,"stem,ce,ccl,cc,cpsaa,cd,ccec,cp",3
