startNode,endNode,type
1,4,FRIEND_OF
2,10,FRIEND_OF
2,7,FRIEND_OF
3,7,FRIEND_OF
3,9,FRIEND_OF
4,10,FRIEND_OF
4,9,FRIEND_OF
5,8,FRIEND_OF
5,2,FRIEND_OF
6,7,FRIEND_OF
6,1,FRIEND_OF
7,3,FRIEND_OF
8,6,FRIEND_OF
8,7,FRIEND_OF
8,9,FRIEND_OF
9,1,FRIEND_OF
9,10,FRIEND_OF
10,9,FRIEND_OF
1,15,VISITED
1,13,VISITED
2,12,VISITED
2,15,VISITED
3,14,VISITED
4,11,VISITED
5,12,VISITED
5,11,VISITED
6,13,VISITED
7,15,VISITED
7,11,VISITED
8,13,VISITED
9,12,VISITED
10,11,VISITED
10,15,VISITED
1,1,LIKES_TEA
2,2,LIKES_SODA
3,3,LIKES_COFFEE
4,4,LIKES_COFFEE
5,5,LIKES_COFFEE
6,6,LIKES_SODA
7,7,LIKES_COFFEE
8,8,LIKES_TEA
9,9,LIKES_COFFEE
10,10,LIKES_TEA
